"","fips","Province_State","mean_pm25","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","Admin2","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","X","year","poverty","popdensity","medianhousevalue","pct_blk","medhouseholdincome","pct_owner_occ","hispanic","education","population","pct_asian","pct_native","pct_white","q_popdensity","obese","smoke","Population","older_pecent","young_pecent","prime_pecent","mid_pecent","state","date","positive","probableCases","negative","pending","totalTestResultsSource","totalTestResults","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","dataQualityGrade","lastUpdateEt","dateModified","checkTimeEt","death","hospitalized","dateChecked","totalTestsViral","positiveTestsViral","negativeTestsViral","positiveCasesViral","deathConfirmed","deathProbable","totalTestEncountersViral","totalTestsPeopleViral","totalTestsAntibody","positiveTestsAntibody","negativeTestsAntibody","totalTestsPeopleAntibody","positiveTestsPeopleAntibody","negativeTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsAntigen","positiveTestsAntigen","positiveIncrease","negativeIncrease","total","totalTestResultsIncrease","posNeg","deathIncrease","hospitalizedIncrease","hash","commercialScore","negativeRegularScore","negativeScore","positiveScore","score","grade","Abbrev","stay_at_home","date_since_social","beds","beds/popultion"
"1","01001","Alabama",11.7125870532397,288.085090873133,306.023450979393,85.6518449946085,96.055417473832,"Autauga","US","2020-06-19 04:33:17",32.53952745,-86.64408227,415,7,0,387,"Autauga, Alabama, US",16040,2016,0.0455705700387326,201.040355,105021.111111111,0.263015816983277,46433.8333333333,0.771370735338628,0.016284779941299,0.286126425922021,53708,0.00400508496429516,0.00169822279422797,0.708364519454509,4,0.333,0.1808155718,918492,0.119382640240742,0.22039712920744,0.412120083789516,0.248100146762302,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,85,1.58263201012884
"2","01003","Alabama",10.0777230509255,290.208860774719,305.516633201269,89.7309723109114,97.9715437505421,"Baldwin","US","2020-06-19 04:33:17",30.72774991,-87.72207058,402,9,0,377,"Baldwin, Alabama, US",16490,2016,0.0942269350720793,217.41562652381,158367.158730159,0.0973848085832984,45903.3777777778,0.784618937666243,0.0311283815996004,0.17448467876409,199123,0.00419126203344842,0.0101380837774121,0.866798861361277,4,0.31,0.174890326,3102984,0.169573545980256,0.190426054404406,0.366823676822053,0.273176722793285,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,398,1.99876458269512
"3","01005","Alabama",10.9819670547144,289.242107243474,306.062248559024,88.6335717103514,97.3716748161449,"Barbour","US","2020-06-19 04:33:17",31.868263,-85.3871286,267,1,0,261,"Barbour, Alabama, US",16120,2016,0.210081479152233,33.8891,82200,0.474787749057053,33020.25,0.696278375282179,0.0397049871807199,0.3966941283456,25303,0.002031835091488,0.0015761889507335,0.485012532710117,2,0.417,0.2199998453,499262,0.143295504164146,0.188185762184985,0.41182385200556,0.256694881645308,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,74,2.92455440066395
"4","01007","Alabama",11.9987147303031,287.362832468956,305.982177012146,86.4858661148299,96.2930769394653,"Bibb","US","2020-06-19 04:33:17",32.99642064,-87.1251146,125,1,0,117,"Bibb, Alabama, US",15581,2016,0.09138928615169,39.08677925,99318.5617656931,0.133431041578065,43257,0.803954704234745,0.0583608334677453,0.269033389522312,22696,0.000533536585365854,0.00618591905041561,0.850112064224997,2,0.376,0.1911419989,397470,0.129413540644577,0.191554079553174,0.422527486351171,0.256504893451078,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,35,1.54212195981671
"5","01009","Alabama",11.7930225350482,285.56567573175,305.178864609229,85.4491387986955,94.6309486778274,"Blount","US","2020-06-19 04:33:17",33.98210918,-86.56790593,140,1,0,126,"Blount, Alabama, US",15509,2016,0.0864050889084458,282.15191125,103779.411764706,0.00983120864995819,41491.0833333333,0.700121814378787,0.178954015466602,0.356165084272953,44029,0.00150083627593351,0.00294057131154097,0.971844783030692,4,0.338,0.1920867197,997531,0.146497702828283,0.203667855936307,0.390598387418536,0.259236053816874,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,40,0.908492130186922
"6","01011","Alabama",11.3135567572804,288.691328835099,305.867718802397,89.1681225015158,97.1384204608283,"Bullock","US","2020-06-19 04:33:17",32.10030533,-85.71265535,317,8,0,310,"Bullock, Alabama, US",16156,2016,0.273640798296164,14.49910325,87500,0.801096044149208,32392,0.809504912104861,0.00043143501924864,0.550204548759968,10903,0.00407734092016101,0.00029868578255675,0.168215034343472,2,0.372,0.2289466401,197588,0.139568192400348,0.190639107638116,0.415156790898233,0.254635909063303,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,61,5.59479042465377
"7","01013","Alabama",10.8041461102477,289.319950128422,306.158492359863,88.4146789097792,97.117399704014,"Butler","US","2020-06-19 04:33:17",31.75300095,-86.68057478,562,25,0,538,"Butler, Alabama, US",16166,2016,0.13612481590446,18.36076575,63750,0.387741861716391,32453.25,0.782217586723808,0.0058851412280735,0.230427590757578,19848,0.0036663776910851,0.0013225674934774,0.598256782691651,2,0.433,0.2176533496,374201,0.168690089016331,0.202717256233949,0.36761259323198,0.26098006151774,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,94,4.73599355098751
"8","01015","Alabama",12.3068497697182,286.032286723183,305.106978399561,86.5853634600088,96.3851336542368,"Calhoun","US","2020-06-19 04:33:17",33.77483727,-85.82630386,208,4,0,198,"Calhoun, Alabama, US",16238,2016,0.108199632999742,333.254175,127720,0.161796096816796,46977.2,0.725282788334407,0.0362680450992991,0.22031388435687,108488,0.008144198558638,0.004126934913405,0.785711105068465,4,0.385,0.2061256037,2073654,0.146201343136319,0.188900848453985,0.403287144335555,0.261610664074142,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,590,5.43838949929946
"9","01017","Alabama",11.4230826565496,287.581219682084,305.667352569565,87.7675987052216,96.2372096279773,"Chambers","US","2020-06-19 04:33:17",32.91360079,-85.39072749,507,26,0,461,"Chambers, Alabama, US",16606,2016,0.140610681676934,88.0921583333333,102733.333333333,0.361951031499036,37719,0.748886892209286,0.00391530553954828,0.33416556093428,39200,0.0151310682346025,0.0034377458015093,0.606114046921601,3,0.401,0.1939292705,628820,0.167642568620591,0.191159632327216,0.37335644540568,0.267841353646513,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,115,2.93367346938776
"10","01019","Alabama",12.1763344316371,285.222569617883,305.256720867334,87.7572235377581,96.0380888418939,"Cherokee","US","2020-06-19 04:33:17",34.17805983,-85.60638968,57,5,0,48,"Cherokee, Alabama, US",16004,2016,0.135306722974901,56.265644,105260,0.0438478848627214,38159,0.787454960970677,0.0201368200340992,0.292013899273056,34226,0.0043378216510527,0.00403571678810064,0.935412509403599,3,0.35,0.1749867379,454744,0.179540576676108,0.17549434407051,0.35194746934539,0.293017609907992,"AL",20200618,28206,410,294328,NA,"totalTestsPeopleViral",322124,668,2373,NA,695,NA,405,15974,"B","6/18/2020 11:00","2020-06-18T11:00:00Z","06/18 07:00",810,2373,"2020-06-18T11:00:00Z",NA,NA,NA,27796,801,9,NA,322124,NA,NA,NA,NA,NA,NA,NA,NA,NA,894,10917,322534,11799,322534,20,21,"778d52ee7d52b7e51a46650df752f47fa4806c8f",0,0,0,0,0,NA,"Ala.","4/4/2020",252,60,1.75305323438322
